ts,used_mib,free_mib
1780336850.698918215,221, 11873
1780336851.737155022,221, 11873
1780336852.793056269,221, 11873
1780336853.835659185,221, 11873
1780336854.880117939,221, 11873
1780336855.923430948,221, 11873
1780336856.964653577,221, 11873
1780336858.011923694,221, 11873
1780336859.056422274,221, 11873
1780336860.108815903,221, 11873
1780336861.149375187,221, 11873
1780336862.187693013,221, 11873
1780336863.233936252,221, 11873
1780336864.275594088,221, 11873
1780336865.316746527,221, 11873
1780336866.359160322,221, 11873
1780336867.401433275,221, 11873
1780336868.440471572,221, 11873
1780336869.481727242,221, 11873
1780336870.522625459,221, 11873
1780336871.576530642,221, 11873
1780336872.624197837,221, 11873
1780336873.665183857,221, 11873
1780336874.706026287,221, 11873
1780336875.746978457,221, 11873
1780336876.788987305,221, 11873
1780336877.882560693,221, 11873
1780336878.923649564,221, 11873
1780336879.964746730,221, 11873
1780336881.008381168,221, 11873
1780336882.049951574,221, 11873
1780336883.104811594,221, 11873
1780336884.147610757,221, 11873
1780336885.193090615,221, 11873
1780336886.234124669,221, 11873
1780336887.284423912,221, 11873
1780336888.327106579,221, 11873
1780336889.366813203,221, 11873
1780336890.414087019,221, 11873
1780336891.456673919,221, 11873
1780336892.499316320,221, 11873
1780336893.541229162,221, 11873
1780336894.585479337,221, 11873
1780336895.628642657,221, 11873
1780336896.672226784,221, 11873
1780336897.712808329,221, 11873
1780336898.754399358,221, 11873
1780336899.796746782,221, 11873
1780336900.842334842,221, 11873
1780336901.887829951,221, 11873
1780336902.929699643,221, 11873
1780336903.971867342,221, 11873
1780336905.013926545,221, 11873
1780336906.054332880,221, 11873
1780336907.097813361,221, 11873
1780336908.139706883,221, 11873
1780336909.184272824,221, 11873
1780336910.218850080,221, 11873
1780336911.262417163,221, 11873
1780336912.305721038,221, 11873
1780336913.348741402,221, 11873
1780336914.389618150,221, 11873
1780336915.432968947,221, 11873
1780336916.477767293,221, 11873
1780336917.520443628,221, 11873
1780336918.630868427,221, 11873
1780336919.674391541,221, 11873
1780336920.723107180,221, 11873
1780336921.775798968,221, 11873
1780336922.826082851,221, 11873
1780336923.880933442,221, 11873
1780336924.927814244,221, 11873
1780336925.978998764,221, 11873
1780336927.032684146,221, 11873
1780336928.087831187,221, 11873
1780336929.136808863,221, 11873
1780336930.189392653,221, 11873
1780336931.234480923,221, 11873
1780336932.287788381,221, 11873
1780336933.341842991,221, 11873
1780336934.399190505,221, 11873
1780336935.448053211,221, 11873
1780336936.502805977,221, 11873
1780336937.548816323,221, 11873
1780336938.605663217,221, 11873
1780336939.664270440,221, 11873
1780336940.704121211,221, 11873
1780336941.753050045,221, 11873
1780336942.808829605,221, 11873
1780336943.851518733,221, 11873
1780336944.903537927,221, 11873
1780336945.958870288,221, 11873
1780336947.015947453,221, 11873
1780336948.069718590,221, 11873
1780336949.122196108,221, 11873
1780336950.169962161,221, 11873
1780336951.226160288,221, 11873
1780336952.277088435,221, 11873
1780336953.329165428,221, 11873
1780336954.383942622,221, 11873
1780336955.439714017,221, 11873
1780336956.503414206,221, 11873
1780336957.553813978,221, 11873
1780336958.600482299,221, 11873
1780336959.649166474,221, 11873
1780336960.697435101,221, 11873
1780336961.746999358,221, 11873
1780336962.799345186,221, 11873
1780336963.847958776,221, 11873
1780336964.891026184,221, 11873
1780336965.937017502,221, 11873
1780336966.987173625,221, 11873
1780336968.034404977,221, 11873
1780336969.085121568,221, 11873
1780336970.132987616,221, 11873
1780336971.182413727,221, 11873
1780336972.222111537,221, 11873
1780336973.274557724,221, 11873
1780336974.325523384,221, 11873
1780336975.372883376,221, 11873
1780336976.427179553,221, 11873
1780336977.480809510,221, 11873
1780336978.536182135,221, 11873
1780336979.580365325,221, 11873
1780336980.644136777,221, 11873
1780336981.698332398,221, 11873
1780336982.746646692,221, 11873
1780336983.793961941,221, 11873
1780336984.842471158,221, 11873
1780336985.896860722,221, 11873
1780336986.955726785,221, 11873
1780336988.011210968,221, 11873
1780336989.060738145,221, 11873
1780336990.147896122,221, 11873
1780336991.201905709,221, 11873
1780336992.258823097,221, 11873
1780336993.317031540,221, 11873
1780336994.370994698,221, 11873
1780336995.424756768,221, 11873
1780336996.475841126,221, 11873
1780336997.527487287,221, 11873
1780336998.581401925,221, 11873
1780336999.634621959,221, 11873
1780337000.687781292,221, 11873
1780337001.745126474,221, 11873
1780337002.795218897,221, 11873
1780337003.863393222,221, 11873
1780337004.913666854,221, 11873
1780337005.968080185,221, 11873
1780337007.017194405,221, 11873
1780337008.065827998,221, 11873
1780337009.121912104,221, 11873
1780337010.175964995,221, 11873
1780337011.224299868,221, 11873
1780337012.278138255,221, 11873
1780337013.333685829,221, 11873
1780337014.380111872,221, 11873
1780337015.437166560,221, 11873
1780337016.485183695,221, 11873
1780337017.539027720,221, 11873
1780337018.597183344,221, 11873
1780337019.649094883,221, 11873
1780337020.750384829,221, 11873
1780337021.803452005,221, 11873
1780337022.847241695,221, 11873
1780337023.897592331,221, 11873
1780337024.941560767,221, 11873
1780337025.992603761,221, 11873
1780337027.049111297,221, 11873
1780337028.109147975,221, 11873
1780337029.166158899,221, 11873
1780337030.224596219,221, 11873
1780337031.276564946,221, 11873
1780337032.328287504,221, 11873
1780337033.382714455,221, 11873
1780337034.435238992,221, 11873
1780337035.485547539,221, 11873
1780337036.543134100,221, 11873
1780337037.585473137,221, 11873
1780337038.639756928,221, 11873
1780337039.682202961,221, 11873
1780337040.730580305,221, 11873
1780337041.783620827,221, 11873
1780337042.831319275,221, 11873
1780337043.882697378,221, 11873
1780337044.936745298,221, 11873
1780337045.990724933,221, 11873
1780337047.034579232,221, 11873
1780337048.089183776,221, 11873
1780337049.146523459,221, 11873
1780337050.193058447,221, 11873
1780337051.307782077,221, 11873
1780337052.366950412,221, 11873
1780337053.424241120,221, 11873
1780337054.472147835,221, 11873
1780337055.527915724,221, 11873
1780337056.581673873,221, 11873
1780337057.634142701,221, 11873
1780337058.687616869,221, 11873
1780337059.736615544,221, 11873
1780337060.782285295,221, 11873
1780337061.836947168,221, 11873
1780337062.895143927,221, 11873
1780337063.936086441,221, 11873
1780337064.981328401,221, 11873
1780337066.035574571,221, 11873
1780337067.090284792,221, 11873
1780337068.146164467,221, 11873
1780337069.210483281,221, 11873
1780337070.263365395,221, 11873
1780337071.316827884,221, 11873
1780337072.366180600,221, 11873
1780337073.424760539,221, 11873
1780337074.472070216,221, 11873
1780337075.514800722,221, 11873
1780337076.591656599,241, 11853
1780337077.633901578,443, 11651
1780337078.676433869,443, 11651
1780337079.719193683,443, 11651
1780337080.784456030,443, 11651
1780337081.908103070,443, 11651
1780337082.961389427,221, 11873
1780337084.005114804,221, 11873
1780337085.059745244,221, 11873
1780337086.108947730,221, 11873
1780337087.160384003,221, 11873
1780337088.218554613,221, 11873
1780337089.268353283,221, 11873
1780337090.311192727,221, 11873
1780337091.363923566,221, 11873
1780337092.416151373,221, 11873
1780337093.468274161,221, 11873
1780337094.512612360,221, 11873
1780337095.562066645,221, 11873
1780337096.601660227,221, 11873
1780337097.640200984,221, 11873
1780337098.692776633,221, 11873
1780337099.746462559,221, 11873
1780337100.794139410,221, 11873
1780337101.849819096,221, 11873
1780337102.901879792,221, 11873
1780337103.947836858,221, 11873
1780337105.007560267,221, 11873
1780337106.057080858,221, 11873
1780337107.113247202,221, 11873
1780337108.169503321,221, 11873
1780337109.217346432,221, 11873
1780337110.259881528,221, 11873
1780337111.309572887,221, 11873
1780337112.364660309,221, 11873
1780337113.428481619,221, 11873
1780337114.474072405,221, 11873
1780337115.525129325,221, 11873
1780337116.581038202,443, 11651
1780337117.627497957,443, 11651
1780337118.668328740,443, 11651
1780337119.709516725,443, 11651
1780337120.749227740,443, 11651
1780337121.795388839,443, 11651
1780337122.844182534,475, 11619
1780337123.893041539,475, 11619
1780337124.940695074,475, 11619
1780337125.994490956,4353, 7741
1780337127.037038253,4393, 7701
1780337128.107590611,4401, 7693
1780337129.151607486,3701, 8393
1780337130.195904100,3701, 8393
1780337131.245910055,3885, 8209
1780337132.290606784,3949, 8145
1780337133.334918364,3949, 8145
1780337134.380748536,3949, 8145
1780337135.422693905,3949, 8145
1780337136.467898550,3949, 8145
1780337137.512838358,3949, 8145
1780337138.555043295,3949, 8145
1780337139.599326674,3949, 8145
1780337140.637644121,3949, 8145
1780337141.677150283,4725, 7369
1780337142.719916091,7061, 5033
1780337143.770270365,7261, 4833
1780337144.813653622,7261, 4833
1780337145.856892267,7273, 4821
1780337146.899813161,7273, 4821
1780337147.948504053,7273, 4821
1780337149.000812072,8893, 3201
1780337150.044491650,8893, 3201
1780337151.095990843,8893, 3201
1780337152.133192196,8893, 3201
1780337153.180172699,10255, 1839
1780337154.222603846,10255, 1839
1780337155.264846113,10255, 1839
1780337156.303408572,10255, 1839
1780337157.348042816,10255, 1839
1780337158.397473439,10255, 1839
1780337159.441764990,10255, 1839
1780337160.483525457,10255, 1839
1780337161.536391830,10255, 1839
1780337162.583306879,10255, 1839
1780337163.641729355,10255, 1839
1780337164.684868120,10255, 1839
1780337165.726407857,10255, 1839
1780337166.764954849,10255, 1839
1780337167.806909823,10255, 1839
1780337168.849632414,10255, 1839
1780337169.896919655,10255, 1839
1780337170.935566821,10255, 1839
1780337171.975693107,10255, 1839
1780337173.035708969,10255, 1839
1780337174.080148162,10255, 1839
1780337175.128883198,10255, 1839
1780337176.174343576,10255, 1839
1780337177.215386810,10255, 1839
1780337178.265040453,10255, 1839
1780337179.305783180,10255, 1839
1780337180.352998200,10255, 1839
1780337181.397755844,10255, 1839
1780337182.439525679,10255, 1839
1780337183.487640842,10255, 1839
