ts,used_mib,free_mib
1780256858.065357599,537, 11557
1780256859.105661400,537, 11557
1780256860.140396191,537, 11557
1780256861.195328373,537, 11557
1780256862.238832501,537, 11557
1780256863.291303429,537, 11557
1780256864.338670960,537, 11557
1780256865.388060738,537, 11557
1780256866.437069392,537, 11557
1780256867.478848459,537, 11557
1780256868.532862554,537, 11557
1780256869.577100643,537, 11557
1780256870.620200783,537, 11557
1780256871.653185413,537, 11557
1780256872.688474130,537, 11557
1780256873.741768491,537, 11557
1780256874.786490366,537, 11557
1780256875.836423446,537, 11557
1780256876.878773395,537, 11557
1780256877.919075982,537, 11557
1780256878.956930252,537, 11557
1780256880.003543854,537, 11557
1780256881.049802622,537, 11557
1780256882.096884074,537, 11557
1780256883.143222547,537, 11557
1780256884.192317643,537, 11557
1780256885.235848464,537, 11557
1780256886.282834730,537, 11557
1780256887.350689561,537, 11557
1780256888.401356327,537, 11557
1780256889.457011658,537, 11557
1780256890.505748212,537, 11557
1780256891.553253620,537, 11557
1780256892.604995455,537, 11557
1780256893.651563303,537, 11557
1780256894.692107960,537, 11557
1780256895.731547024,537, 11557
1780256896.778303523,537, 11557
1780256897.825541685,537, 11557
1780256898.871257734,537, 11557
1780256899.923817693,537, 11557
1780256900.969737670,537, 11557
1780256902.057842939,537, 11557
1780256903.113092150,537, 11557
1780256904.157308943,537, 11557
1780256905.206567252,537, 11557
1780256906.248475889,537, 11557
1780256907.293826186,537, 11557
1780256908.337780675,537, 11557
1780256909.385593790,537, 11557
1780256910.430390836,537, 11557
1780256911.471072704,537, 11557
1780256912.516592465,537, 11557
1780256913.565146333,537, 11557
1780256914.607494248,537, 11557
1780256915.657777798,537, 11557
1780256916.711049589,537, 11557
1780256917.761552833,537, 11557
1780256918.805831209,537, 11557
1780256919.853998065,537, 11557
1780256920.901732875,537, 11557
1780256921.971815081,537, 11557
1780256923.018107077,537, 11557
1780256924.066829685,537, 11557
1780256925.116298195,537, 11557
1780256926.191047778,537, 11557
1780256927.228153891,543, 11551
1780256928.273613789,543, 11551
1780256929.313147448,543, 11551
1780256930.354526482,543, 11551
1780256931.411199967,543, 11551
1780256932.450608754,543, 11551
1780256933.493478265,543, 11551
1780256934.553678644,543, 11551
1780256935.589747704,571, 11523
1780256936.632949093,595, 11499
1780256937.676913282,585, 11509
1780256938.756660866,585, 11509
1780256939.832722916,585, 11509
1780256940.913061738,585, 11509
1780256941.954069958,585, 11509
1780256942.995904703,585, 11509
1780256944.047262411,607, 11487
1780256945.090999423,726, 11368
1780256946.145214334,947, 11147
1780256947.199674728,947, 11147
1780256948.243267887,948, 11146
1780256949.289287595,954, 11140
1780256950.337291709,946, 11148
1780256951.373551176,946, 11148
1780256952.785290396,929, 11165
1780256954.001034694,929, 11165
1780256955.100485205,908, 11186
1780256956.172311407,4913, 7181
1780256957.250663656,4913, 7181
1780256958.309990031,4213, 7881
1780256959.421974159,4150, 7944
1780256960.459096023,4398, 7696
1780256961.506572454,4393, 7701
1780256962.653816075,4391, 7703
1780256963.728037344,4391, 7703
1780256964.793785482,4392, 7702
1780256965.840439792,4452, 7642
1780256966.896389919,5782, 6312
1780256967.992402208,9172, 2921
1780256969.046082489,9232, 2861
1780256970.126743925,9309, 2785
1780256971.183916748,9509, 2585
1780256972.299853751,9509, 2585
1780256973.452569705,9497, 2597
1780256974.715502870,9647, 2447
1780256975.787915405,9664, 2430
1780256976.867516653,9703, 2391
1780256977.920832827,9676, 2418
1780256978.968417189,9675, 2419
1780256980.024558493,9654, 2440
1780256981.069940339,9636, 2458
1780256982.124596110,9628, 2466
1780256983.179270676,9688, 2406
1780256984.253139003,9696, 2398
1780256985.302304984,9812, 2282
1780256986.345103970,9834, 2260
1780256987.450201301,9985, 2109
1780256988.493207238,9966, 2128
1780256989.715042846,9969, 2125
1780256990.770104136,9950, 2144
1780256991.809602891,9939, 2155
1780256992.857168380,9926, 2168
1780256993.907157714,9915, 2179
1780256994.944281691,9914, 2180
1780256995.986564570,9967, 2127
1780256997.033420456,10121, 1973
1780256998.073377312,10034, 2060
1780256999.112568363,10119, 1975
1780257000.157273390,10103, 1991
1780257001.199433953,10081, 2013
1780257002.246612919,10053, 2041
1780257003.294913439,10126, 1968
1780257004.339801271,10192, 1902
1780257005.423579063,10176, 1918
1780257006.472675122,10032, 2062
1780257007.508009524,10025, 2069
1780257008.548398535,10006, 2088
1780257009.590248954,9954, 2140
1780257010.684655101,9955, 2139
1780257011.725361725,9996, 2098
1780257012.765796368,9996, 2098
1780257013.815291219,10068, 2026
1780257014.854675172,10039, 2055
1780257015.894974335,1241, 10852
1780257016.960237178,1175, 10919
1780257018.017714224,1167, 10927
1780257019.063157369,1145, 10949
1780257020.105499113,1153, 10941
1780257021.176357169,1148, 10946
1780257022.219677491,1246, 10848
1780257023.272365612,1241, 10853
1780257024.318605276,1228, 10866
1780257025.361000107,1231, 10863
1780257026.414710632,1225, 10869
1780257027.470098040,1243, 10851
1780257028.552766739,1353, 10741
1780257029.601728010,2789, 9305
1780257030.654430858,9377, 2717
1780257031.701180602,9468, 2626
1780257032.740016223,9464, 2630
1780257033.816253601,9563, 2531
1780257034.878277788,10361, 1733
1780257035.986664185,11163, 931
1780257037.061135415,11565, 529
1780257038.199233279,11578, 516
1780257039.268902019,11582, 512
1780257040.338869895,11699, 395
1780257041.989591417,11796, 298
1780257043.051602213,11717, 377
1780257044.100349401,11693, 401
1780257045.154196241,11670, 424
1780257046.192963553,11634, 460
1780257047.235835156,11622, 472
1780257048.288203854,11607, 487
1780257049.345870162,11848, 246
1780257050.390603039,11851, 243
1780257051.441264620,11818, 276
1780257052.479775604,11858, 236
1780257053.521882824,11863, 231
1780257054.587503957,11864, 230
1780257055.654196412,11828, 266
1780257056.701752956,11801, 293
1780257057.752074439,11787, 307
1780257058.794302244,11812, 282
1780257059.832502674,11800, 294
1780257060.879886782,11813, 281
1780257061.929062263,11823, 271
1780257062.964887876,11823, 271
1780257064.007889379,11807, 287
1780257065.059940460,11789, 305
1780257066.101320151,11802, 292
1780257067.136355065,11772, 322
1780257068.172810459,11770, 324
1780257069.210736221,11781, 313
1780257070.247328132,11767, 327
1780257071.285283691,11767, 327
1780257072.327437020,11757, 337
1780257073.365655088,11757, 337
1780257074.405961058,11812, 282
1780257075.446513008,11798, 296
1780257076.493904633,11800, 294
1780257077.553695738,11850, 244
1780257078.595076143,11859, 235
1780257079.641187339,11849, 245
1780257080.678549316,11815, 279
1780257081.727238798,11843, 251
1780257082.766574591,11869, 225
1780257083.805989223,11852, 242
1780257084.847170483,11837, 257
1780257085.897639941,11842, 252
1780257086.943696135,11850, 244
1780257088.004901879,11775, 319
1780257089.051185650,11765, 329
1780257090.101920347,11847, 247
1780257091.440823026,11882, 212
1780257092.536884210,11972, 122
1780257093.609569653,11975, 119
1780257094.752796980,11977, 117
1780257095.867332438,11942, 152
1780257096.915227094,11985, 109
1780257097.958777246,11863, 231
1780257099.027743150,11813, 281
1780257100.081618834,11858, 236
1780257101.122412207,11866, 228
1780257102.164464201,11849, 245
1780257103.207097508,11841, 253
1780257104.249798977,11798, 296
1780257105.288483087,11796, 298
1780257106.330340081,11795, 299
1780257107.366324578,11781, 313
1780257108.400677021,11781, 313
1780257109.443461854,11794, 300
1780257110.486706074,11794, 300
1780257111.526985680,11791, 303
1780257112.566334506,11777, 317
1780257113.636759508,11794, 300
1780257114.686107965,11794, 300
1780257115.722964789,11794, 300
1780257116.762205839,11782, 312
1780257117.822442193,11792, 302
1780257118.897383887,11791, 303
1780257119.937813400,11771, 323
1780257120.993232212,11771, 323
1780257122.039449145,11771, 323
1780257123.080946234,11791, 303
1780257124.122307958,11789, 305
1780257125.165317385,11787, 307
1780257126.204064327,11786, 308
1780257127.241206465,11809, 285
1780257128.280603777,11796, 298
1780257129.319005921,11808, 286
1780257130.355563904,11807, 287
1780257131.396116632,11805, 289
1780257132.438528851,11804, 290
1780257133.478216039,11776, 318
1780257134.523911418,11808, 286
1780257135.566548250,11795, 299
1780257136.606197823,11795, 299
1780257137.647342195,11795, 299
1780257138.685575343,11793, 301
1780257139.727245799,11790, 304
1780257140.766862938,11795, 299
1780257141.806129018,11795, 299
1780257142.845245305,11808, 286
1780257143.884113818,11795, 299
1780257144.924750481,11794, 300
1780257145.962984018,11791, 303
1780257147.025076488,11743, 351
1780257148.089372291,11622, 472
1780257149.163488283,11594, 500
1780257150.212130564,1441, 10653
1780257151.254883069,1562, 10532
1780257152.373100627,854, 11240
1780257153.423095458,857, 11237
1780257154.469997696,814, 11280
1780257155.519646951,794, 11300
1780257156.561840096,773, 11321
1780257157.607223427,784, 11310
1780257158.651550136,773, 11321
1780257159.695123471,772, 11322
1780257160.738154157,775, 11319
1780257161.797951539,775, 11319
1780257162.842566941,773, 11321
1780257163.885522800,773, 11321
1780257164.939874353,764, 11330
1780257165.980447052,764, 11330
1780257167.019859420,764, 11330
1780257168.075051415,760, 11334
1780257169.113845447,760, 11334
1780257170.156027934,754, 11340
1780257171.198436286,754, 11340
1780257172.252015408,754, 11340
1780257173.295693197,754, 11340
1780257174.343145729,775, 11319
1780257175.384082511,775, 11319
1780257176.426020639,775, 11319
1780257177.465485178,775, 11319
1780257178.503354128,775, 11319
1780257179.550724455,774, 11320
1780257180.607434716,775, 11319
1780257181.645801662,775, 11319
1780257182.714736883,774, 11320
1780257183.754244657,773, 11321
1780257184.797573258,771, 11323
1780257185.960500835,768, 11326
1780257187.225005042,769, 11325
1780257188.259956540,773, 11321
1780257189.297981262,773, 11321
1780257190.348303582,764, 11330
1780257191.391886886,764, 11330
1780257192.436851189,764, 11330
1780257193.473483919,764, 11330
1780257194.520593828,764, 11330
1780257195.557842276,764, 11330
1780257196.594631396,764, 11330
1780257197.633204462,764, 11330
1780257198.671604112,759, 11335
1780257199.709334296,759, 11335
1780257200.789594565,754, 11340
1780257201.860474815,754, 11340
1780257202.911888804,754, 11340
1780257203.963064427,754, 11340
1780257205.005566574,754, 11340
1780257206.042255294,771, 11323
1780257207.087350933,771, 11323
1780257208.140994774,771, 11323
1780257209.185535992,760, 11334
1780257210.225486678,764, 11330
1780257211.262399842,773, 11321
1780257212.306930218,773, 11321
1780257213.349144681,771, 11323
1780257214.386847786,761, 11333
1780257215.434772460,761, 11333
1780257216.478067778,772, 11322
1780257217.535649023,774, 11320
1780257218.577769305,773, 11321
1780257219.615366731,815, 11279
1780257220.658747456,900, 11194
1780257221.701376167,873, 11221
1780257222.736790061,842, 11252
1780257223.792784523,869, 11225
1780257224.837120110,838, 11256
1780257225.882148588,814, 11280
1780257226.922225136,800, 11294
1780257227.960213180,804, 11290
1780257229.002703872,814, 11280
1780257230.050777057,814, 11280
1780257231.094598452,800, 11294
1780257232.132559250,814, 11280
1780257233.175991640,786, 11308
1780257234.232237761,786, 11308
1780257235.275249926,814, 11280
1780257236.311397034,814, 11280
1780257237.354888710,800, 11294
1780257238.417704389,800, 11294
1780257239.467165750,800, 11294
1780257240.507953172,784, 11310
1780257241.548518826,798, 11296
1780257242.596046880,814, 11280
1780257243.636639420,814, 11280
1780257244.675401162,800, 11294
1780257245.721659224,800, 11294
1780257246.767010577,786, 11308
1780257247.802780682,784, 11310
1780257248.841982910,798, 11296
1780257249.882287832,798, 11296
1780257250.920830875,783, 11311
1780257251.961046279,813, 11281
1780257253.017362212,800, 11294
1780257254.062809148,800, 11294
1780257255.105067673,784, 11310
1780257256.144209871,784, 11310
1780257257.180453258,784, 11310
1780257258.222064623,773, 11321
1780257259.271274641,770, 11324
1780257260.307178534,770, 11324
1780257261.346205129,796, 11298
1780257262.386254130,809, 11285
1780257263.431625896,796, 11298
1780257264.472094449,777, 11317
1780257265.513720598,777, 11317
1780257266.563770422,777, 11317
1780257267.605701541,777, 11317
1780257268.641221927,777, 11317
1780257269.680107364,766, 11328
1780257270.720222781,766, 11328
1780257271.759536549,766, 11328
1780257272.799236900,766, 11328
1780257273.834895084,766, 11328
1780257274.883203409,766, 11328
1780257275.925182684,766, 11328
1780257276.967774254,766, 11328
1780257278.031361067,766, 11328
1780257279.077075067,766, 11328
1780257280.120462824,766, 11328
1780257281.161855251,826, 11268
1780257282.200418182,811, 11283
1780257283.246567121,821, 11273
1780257284.287093041,833, 11261
1780257285.344990823,836, 11258
1780257286.386007917,802, 11292
1780257287.423266685,797, 11297
1780257288.468440595,812, 11282
1780257289.510851552,798, 11296
1780257290.556311610,782, 11312
1780257291.590721019,782, 11312
1780257292.630365432,782, 11312
1780257293.674108006,770, 11324
1780257294.732268641,770, 11324
1780257295.770655241,770, 11324
1780257296.837835579,770, 11324
1780257297.877822049,796, 11298
1780257298.916717010,809, 11285
1780257299.956598049,782, 11312
1780257300.999997411,782, 11312
1780257302.037491244,782, 11312
1780257303.086104631,782, 11312
1780257304.125508274,781, 11313
1780257305.162405862,782, 11312
1780257306.207352027,782, 11312
1780257307.248775380,782, 11312
1780257308.289329485,795, 11299
1780257309.332310347,777, 11317
1780257310.372193192,805, 11289
1780257311.421731027,791, 11303
1780257312.465052065,791, 11303
1780257313.508403741,791, 11303
1780257314.548638473,777, 11317
1780257315.587114542,777, 11317
1780257316.639676088,769, 11325
1780257317.693889168,769, 11325
1780257318.739515009,766, 11328
1780257319.780259586,766, 11328
